Rank,Name,Pos,Z Total
163,Kelly Olynyk,C,1.612982321
164,Keldon Johnson,SF,1.556282538
165,Gary Trent Jr.,SF,1.55155577
166,Markelle Fultz,PG,1.500127511
167,Josh Okogie,SG,1.480463965
168,Jordan Clarkson,SG,1.407694204
169,Mike Conley,PG,1.356551257
170,Wendell Carter Jr.,C,1.354252753
171,Seth Curry,SG,1.344572364
172,Eric Gordon,SF,1.289374539
173,Gorgui Dieng,C,1.232629792
174,Langston Galloway,SG,1.225805373
175,Justise Winslow,SG,1.223775905
176,Shabazz Napier,PG,1.208486727
177,Kent Bazemore,SF,1.191318449
178,Cedi Osman,SF,1.086278493
179,Derrick Favors,C,1.065126261
180,Cam Reddish,SF,1.023016991
181,Dion Waiters,SG,1.007393036
182,Willie Cauley-Stein,C,1.003848809
183,De'Anthony Melton,PG,0.94874299
184,Patty Mills,PG,0.924345248
185,De'Andre Hunter,SF,0.888198578
186,Jeff Teague,PG,0.88500649
187,Ben McLemore,SF,0.873621967
188,Monte Morris,PG,0.843190695
189,Matisse Thybulle,SG,0.808877305
190,Jordan McRae,SG,0.802932101
191,Pat Connaughton,SG,0.784821007
192,Kyle Anderson,SF,0.771908016
193,Victor Oladipo,SG,0.756743377
194,T.J. McConnell,PG,0.726363466
195,Marvin Bagley III,C,0.718690564
196,Ivica Zubac,C,0.583134386
197,JaMychal Green,PF,0.566316162
198,Marvin Williams,PF,0.555406716
199,Aaron Holiday,PG,0.465520396
200,Coby White,PG,0.426406436
201,Eric Paschall,PF,0.404616314
202,Nicolas Batum,SF,0.39608862
203,Doug McDermott,PF,0.364729301
204,Blake Griffin,PF,0.338306059
205,Bobby Portis,PF,0.324382236
206,Zach Collins,PF,0.304189108
207,Sviatoslav Mykhailiuk,SF,0.296615081
208,RJ Barrett,SG,0.293367643
209,JaVale McGee,C,0.290010087
210,David Nwaba,SG,0.282488141
211,Cory Joseph,PG,0.227739566
212,Kyle Kuzma,PF,0.220807539
213,Aron Baynes,C,0.189213639
214,Trey Lyles,PF,0.145698975
215,Damian Jones,C,0.098630254
216,Rondae Hollis-Jefferson,PF,0.048232759
