Rank,Name,Pos,Z Total
255,Zion Williamson,PF,-4.063837875
256,Skal Labissière,C,-4.114135114
257,Wesley Iwundu,SF,-4.179746385
258,Rodney Hood,SF,-4.179896368
259,Mike Muscala,C,-4.252050826
260,Grant Williams,PF,-4.253679103
261,Lonnie Walker,SG,-4.25393789
262,E'Twaun Moore,SG,-4.268810932
263,Raul Neto,PG,-4.286229706
264,Ian Mahinmi,C,-4.308505381
265,Thon Maker,C,-4.372048549
266,Jordan McRae,SG,-4.389135233
267,Eric Gordon,SF,-4.431743231
268,Wilson Chandler,PF,-4.506901876
269,Frank Kaminsky,C,-4.563769997
270,Patrick Patterson,PF,-4.687477581
271,Vince Carter,PF,-4.696787942
272,Jordan McLaughlin,PG,-4.794552643
273,DeAndre' Bembry,SG,-4.888803507
274,Khem Birch,C,-4.935581898
275,Isaiah Thomas,PG,-4.977138062
276,Sterling Brown,SF,-5.057063265
277,Luke Kornet,C,-5.314436541
278,Kevin Knox,SF,-5.336160142
279,Trey Burke,PG,-5.38418664
280,Cody Martin,SF,-5.463403586
281,John Henson,C,-5.468262707
282,Rajon Rondo,PG,-5.479724463
283,Marco Belinelli,SG,-5.524431715
284,Patrick McCaw,SF,-5.547943105
285,Jordan Poole,SG,-5.559026609
286,Yogi Ferrell,PG,-5.650639037
287,Luguentz Dort,SF,-5.654097535
288,Jerome Robinson,SG,-5.936919981
289,Jake Layman,SF,-5.93761162
290,Nicolas Batum,SF,-5.938412839
291,Ryan Arcidiacono,PG,-6.036885488
292,Terrance Ferguson,SF,-6.055695062
293,Reggie Bullock,SG,-6.076026685
294,Bruno Fernando,C,-6.254599861
295,Robin Lopez,C,-6.351565278
296,Hamidou Diallo,SF,-6.399155195
297,Damyean Dotson,SG,-6.461647669
298,Juan Hernangómez,PF,-6.604247712
299,Rodions Kurucs,PF,-6.616636603
300,Frank Jackson,PG,-6.646726168
301,Anthony Tolliver,PF,-6.659642898
302,Alfonzo McKinnie,SF,-6.684924754
303,Victor Oladipo,SG,-6.737960022
304,Quinn Cook,PG,-6.798668536
305,Matthew Dellavedova,PG,-7.027764975
306,Elie Okobo,PG,-7.114521468
307,Chandler Hutchison,SF,-7.221099111
308,Wayne Ellington,SG,-7.351358135
309,Nassir Little,PF,-7.364368505
310,Blake Griffin,PF,-7.550851176
311,Sekou Doumbouya,PF,-7.58921649
312,Treveon Graham,SF,-7.654891286
313,Rodney McGruder,SG,-8.126911524
314,Nickeil Alexander-Walker,SG,-8.227485702
315,Troy Daniels,SG,-9.274798674
316,Dwayne Bacon,SG,-9.614536532
317,Kenrich Williams,PF,-10.3855532
318,Dennis Smith Jr.,PG,-11.1480057
