"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"193","Royce O'Neale","UTH","SF","150","215","193.4","13.7"
"194","Sekou Doumbouya","DET","SF,PF","115","271","194.7","31.1"
"195","JaVale McGee","CLE","C","176","215","197.0","9.3"
"196","Meyers Leonard","MIA","PF,C","175","285","200.9","25.3"
"197","Aron Baynes","TOR","C","114","246","191.2","45.7"
"198","Josh Okogie","MIN","PG,SG,SF","184","223","199.5","9.4"
"199","Marcus Morris","LAC","SF,PF,C","127","235","200.1","28.4"
"200","Bobby Portis","MIL","PF,C","177","234","200.5","13.6"
"201","Kevon Looney","GSW","PF,C","181","214","201.0","9.3"
"202","Kris Dunn","ATL","PG,SG,SF ","124","233","201.7","26.6"
"203","Gorgui Dieng","MEM","PF,C","189","230","202.3","9.9"
"204","Enes Kanter","POR","C","185","226","203.2","11.1"
"205","Kelly Olynyk","MIA","PF,C","172","235","206.0","14.8"
"206","Nemanja Bjelica","SAC","PF","93","233","200.2","42.0"
"207","Rudy Gay","SAS","SF,PF","178","226","206.6","11.9"
"208","Nicolas Claxton","BKN","C,PF ","179","219","201.1","12.6"
"209","Nicolas Batum","LAC","SG,SF,PF","177","282","207.6","26.9"
"210","Harry Giles III","POR","PF,C","150","299","209.4","33.6"
"211","Taurean Prince","BKN","SF,PF","158","249","208.1","20.4"
"212","Dwight Howard","PHI","PF,C","179","232","208.4","13.5"
"213","Josh Hart","NOR","SG,SF","183","233","208.9","11.2"
"214","Kentavious Caldwell-Pope","LAL","PG,SG,SF","155","236","209.0","23.2"
"215","Willie Cauley-Stein","DAL","PF,C","151","254","210.6","22.4"
"216","Goga Bitadze","IND","C","190","268","211.5","19.1"
"217","Kyle Anderson","MEM","SF,PF","202","223","214.7","5.1"
"218","Ish Smith","WAS","PG","161","244","215.1","18.9"
"219","Monte Morris","DEN","PG,SG","159","248","215.5","20.7"
"220","Tyus Jones","MEM","PG","209","224","217.5","4.8"
"221","D.J. Augustin","MIL","PG","203","252","221.5","11.8"
"222","Jabari Parker","SAC","SF,PF","180","277","222.6","22.4"
"223","Rajon Rondo","ATL","PG","175","258","222.7","18.6"
"224","Malik Monk","CHA","PG,SG","211","243","224.2","7.6"
"225","Alex Len","TOR","PF,C","203","260","225.2","15.5"
"226","Markieff Morris","LAL","PF,C","200","259","225.9","14.4"
"227","Landry Shamet","BKN","PG,SG","201","279","226.2","17.8"
"228","James Johnson","DAL","SF,PF,C","185","252","227.5","15.1"
"229","Reggie Jackson","LAC","PG,SG","206","247","227.5","10.0"
"230","Kent Bazemore","GSW","SG,SF","210","253","228.2","10.6"
"231","Mason Plumlee","DET","PF,C","169","251","228.3","19.8"
"232","JaMychal Green","DEN","PF,C","184","253","229.4","15.1"
"233","Marvin Williams","MIL","SF,PF","216","248","232.5","8.1"
"234","Justin Holiday","IND","SG,SF","172","244","219.1","25.6"
"235","Rodney Hood","POR","SG,SF","212","264","236.3","11.9"
"236","Deni Avdija","WAS","SG,SF","152","250","223.3","31.4"
"237","Maurice Harkless","MIA","SF,PF","178","273","236.9","20.6"
"238","Nickeil Alexander-Walker","NOR","SG","200","284","240.3","19.7"
"239","Kevin Knox","NYK","SF,PF","173","300","238.6","27.4"
"240","Dennis Smith Jr.","NYK","PG,SG","217","250","234.4","10.3"
"241","George Hill","OKC","PG,SG","216","255","239.9","8.5"
"242","Dwayne Bacon","ORL","SG","223","251","236.8","7.3"
"243","Alec Burks","NYK","PG,SG,SF","128","247","223.0","37.5"
"244","Wesley Matthews","LAL","SG,SF","222","281","243.2","13.8"
"245","Saddiq Bey","DET","SF","139","249","228.2","33.0"
"246","Jeff Green","BKN","SF,PF,C","229","274","245.0","11.1"
"247","Al-Farouq Aminu","ORL","SF,PF","229","257","242.3","7.8"
"248","Rodions Kurucs","BKN","SF,PF","228","256","242.8","7.2"
"249","Bruce Brown Jr.","BKN","SG","222","269","247.3","11.2"
"250","Luguentz Dort","OKC","SG","155","247","196.4","29.3"
"251","Mohamed Bamba","ORL","C","215","261","239.1","12.8"
"252","Gary Trent Jr.","POR","SG","136","188","168.3","23.0"
"253","Shake Milton","PHI","PG,SG","175","192","181.7","7.4"
"254","Isaac Okoro","CLE","SF","169","248","218.5","32.4"
"255","Facundo Campazzo","DEN","PG","136","187","161.5","25.5"
"256","Dorian Finney-Smith","DAL","SF,PF","135","189","162.0","27.0"
"257","Alex Caruso","LAL","SG","95","240","167.5","72.5"
"258","Keldon Johnson","SAS","SF","165","171","168.0","3.0"
"259","Aaron Holiday","IND","PG,SG","200","272","235.8","26.7"
"260","Cory Joseph","SAC","PG,SG","227","267","245.4","13.1"
"261","Svi Mykhailiuk","DET","SG,SF","183","205","194.0","11.0"
"262","Moritz Wagner","WAS","PF,C","238","266","252.0","10.7"
"263","Grant Williams","BOS","PF","184","289","242.0","37.6"
"264","Boban Marjanovic","DAL","C","237","292","255.5","18.5"
"265","Dion Waiters","LAL","SG,SF","236","264","249.8","9.2"
"266","Avery Bradley","MIA","PG,SG,SF","208","274","243.0","27.4"
"267","Lonnie Walker IV","SAS","SG,SF","182","238","210.0","28.0"
"268","Juancho Hernangomez","MIN","SF,PF,C","195","237","216.0","21.0"
"269","Tyler Johnson","BKN","PG,SG","244","268","254.0","8.7"
"270","Anfernee Simons","POR","PG,SG","231","287","257.0","22.2"
"271","Austin Rivers","NYK","PG,SG","186","276","231.0","45.0"
"272","Josh Jackson","DET","SG,SF","185","290","237.5","52.5"
"273","Frank Jackson","OKC","PG","192","192","192.0","0.0"
"274","Michael Kidd-Gilchrist","NYK","SF","240","271","251.3","14.0"
"275","Jordan Bell","LAL","PF,C","242","270","252.7","12.4"
"276","Glenn Robinson III","SAC","SG,SF","245","295","264.8","20.8"
"277","Frank Ntilikina","NYK","PG,SG","211","211","211.0","0.0"
"278","Terence Davis","TOR","SG","218","218","218.0","0.0"
"279","Andre Iguodala","MIA","SG,SF","219","219","219.0","0.0"
"280","Tony Snell","ATL","SG,SF","248","252","250.0","2.0"
"281","Alfonzo McKinnie","LAL","SF,PF","249","255","252.0","3.0"
"282","Aleksej Pokusevski","OKC","SF,PF","228","228","228.0","0.0"
"283","T.J. McConnell","IND","PG","231","231","231.0","0.0"
"284","Michael Carter-Williams","ORL","PG,SG","234","234","234.0","0.0"
"285","Brad Wanamaker","GSW","PG,SG","235","235","235.0","0.0"
"286","James Ennis III","ORL","SG,SF","239","239","239.0","0.0"
"287","Patrick Williams","CHI","SF","241","241","241.0","0.0"
"288","Jordan McLaughlin","MIN","PG","242","242","242.0","0.0"
"289","Onyeka Okongwu","ATL","PF,C","244","244","244.0","0.0"
"290","Patty Mills","SAS","PG","245","245","245.0","0.0"
"291","Doug McDermott","IND","SF,PF","246","246","246.0","0.0"
"292","TJ Leaf","OKC","PF,C","247","247","247.0","0.0"
"293","Pat Connaughton","MIL","SG,SF","251","251","251.0","0.0"
"294","Furkan Korkmaz","PHI","SG","255","255","255.0","0.0"
"295","Daniel Gafford","CHI","C,PF","256","256","256.0","0.0"
"296","Jalen Brunson","DAL","PG,SG","257","257","257.0","0.0"
"297","Nicolo Melli","NOR","PF","261","261","261.0","0.0"
"298","Ben McLemore","HOU","SG,SF","262","262","262.0","0.0"
"299","Rondae Hollis-Jefferson","MIN","SF,PF","263","263","263.0","0.0"
"300","Chuma Okeke","ORL","PF","267","267","267.0","0.0"
"301","Shabazz Napier","WAS","PG,SG","270","279","274.5","4.5"
"302","Bryn Forbes","MIL","PG,SG","272","272","272.0","0.0"
"303","Taj Gibson","NYK","PF,C","275","296","285.5","10.5"
"304","Trey Lyles","SAS","PF,C","275","275","275.0","0.0"
"305","Robin Lopez","WAS","C","276","276","276.0","0.0"
"306","Noah Vonleh","CHI","PF,C","277","277","277.0","0.0"
"307","Jahlil Okafor","DET","C","278","278","278.0","0.0"
"308","Denzel Valentine","CHI","SG,SF","278","278","278.0","0.0"
"309","Grayson Allen","MEM","SG","280","280","280.0","0.0"
"310","Damion Lee","GSW","SG","283","283","283.0","0.0"
"311","Cole Anthony","ORL","PG","286","286","286.0","0.0"
"312","Langston Galloway","PHO","PG,SG","288","288","288.0","0.0"
"313","Torrey Craig","MIL","SG,SF","291","291","291.0","0.0"
"314","Cameron Payne","PHO","PG","293","293","293.0","0.0"
"315","Jevon Carter","PHO","PG","294","294","294.0","0.0"
"316","Trey Burke","DAL","PG","297","297","297.0","0.0"
"317","E'Twaun Moore","PHO","PG,SG,SF","298","298","298.0","0.0"
""
""
